     1	i	34958
     2	be	24243
     3	the	22104
     4	to	20051
     5	rt	18413
     6	you	17722
     7	a	16092
     8	my	12176
     9	and	11088
    10	not	10692
    11	it	10559
    12	in	9701
    13	me	9506
    14	do	8847
    15	that	8143
    16	of	8069
    17	s	7899
    18	on	7386
    19	for	7174
    20	get	6777
    21	have	6544
    22	lol	5674
    23	m	5222
    24	so	5124
    25	just	5054
    26	like	5054
    27	this	4968
    28	with	4960
    29	at	4626
    30	go	4552
    31	u	4387
    32	love	4339
    33	but	4163
    34	your	4021
    35	what	3793
    36	all	3701
    37	up	3691
    38	if	3670
    39	when	3633
    40	we	3356
    41	out	3297
    42	no	3229
    43	know	3000
    44	good	2946
    45	they	2843
    46	now	2806
    47	he	2692
    48	as	2687
    49	can	2640
    50	one	2580
    51	say	2522
    52	make	2438
    53	lt	2385
    54	time	2329
    55	im	2295
    56	see	2288
    57	day	2287
    58	want	2278
    59	how	2275
    60	about	2250
    61	think	2233
    62	na	2160
    63	she	2135
    64	back	2124
    65	who	2089
    66	too	2048
    67	d	2034
    68	from	2028
    69	people	1978
    70	will	1938
    71	need	1934
    72	follow	1927
    73	some	1883
    74	its	1853
    75	photo	1829
    76	there	1825
    77	or	1810
    78	come	1794
    79	shit	1677
    80	her	1660
    81	fuck	1655
    82	new	1634
    83	by	1624
    84	right	1551
    85	why	1541
    86	re	1497
    87	really	1492
    88	look	1486
    89	girl	1472
    90	gt	1455
    91	never	1451
    92	happy	1442
    93	night	1420
    94	would	1398
    95	more	1376
    96	ca	1343
    97	well	1332
    98	take	1323
    99	an	1305
   100	life	1297
   101	here	1295
   102	then	1268
   103	tonight	1242
   104	feel	1236
   105	much	1226
   106	ll	1223
   107	still	1210
   108	them	1196
   109	watch	1196
   110	oh	1189
   111	tell	1189
   112	today	1177
   113	thing	1164
   114	lmao	1144
   115	man	1144
   116	wan	1143
   117	dont	1142
   118	tweet	1138
   119	his	1129
   120	off	1123
   121	haha	1113
   122	let	1113
   123	miss	1111
   124	only	1096
   125	best	1089
   126	work	1078
   127	gon	1074
   128	him	1068
   129	give	1039
   130	should	1037
   131	hate	1017
   132	bitch	1005
   133	talk	1001
   134	please	997
   135	over	996
   136	way	996
   137	where	991
   138	call	989
   139	friend	989
   140	home	976
   141	always	966
   142	twitter	966
   143	us	951
   144	even	935
   145	nigga	920
   146	great	913
   147	someone	909
   148	down	903
   149	bad	883
   150	try	876
   151	n	871
   152	show	871
   153	movie	860
   154	ever	859
   155	live	852
   156	thanks	845
   157	wait	843
   158	yeah	843
   159	guy	841
   160	than	815
   161	damn	814
   162	is	809
   163	yes	800
   164	ve	780
   165	start	775
   166	mean	768
   167	p	763
   168	party	763
   169	could	761
   170	first	755
   171	last	753
   172	because	752
   173	these	751
   174	wish	751
   175	ur	750
   176	god	746
   177	real	739
   178	stop	738
   179	something	735
   180	ya	735
   181	big	734
   182	our	731
   183	phone	729
   184	hope	724
   185	play	723
   186	de	720
   187	sleep	719
   188	keep	713
   189	tomorrow	712
   190	house	706
   191	video	688
   192	smh	667
   193	w	666
   194	o	665
   195	again	664
   196	their	661
   197	find	660
   198	after	659
   199	long	653
   200	hey	647
   201	thank	645
   202	leave	638
   203	baby	636
   204	bout	635
   205	ta	635
   206	put	626
   207	next	621
   208	song	621
   209	check	620
   210	ask	611
   211	old	604
   212	via	601
   213	yo	598
   214	every	591
   215	game	589
   216	use	589
   217	year	588
   218	fun	581
   219	nice	571
   220	world	571
   221	wit	569
   222	b	563
   223	cool	563
   224	text	559
   225	name	550
   226	other	550
   227	hard	549
   228	ai	545
   229	cause	545
   230	head	545
   231	everyone	544
   232	week	542
   233	boy	539
   234	ok	539
   235	help	537
   236	got	535
   237	nothing	532
   238	little	531
   239	word	529
   240	hear	525
   241	hell	523
   242	eat	521
   243	mom	519
   244	same	518
   245	change	514
   246	into	513
   247	person	513
   248	before	512
   249	heart	511
   250	any	510
   251	da	510
   252	yall	510
   253	cant	509
   254	beautiful	507
   255	birthday	506
   256	school	505
   257	morning	503
   258	sure	497
   259	funny	496
   260	aint	495
   261	face	495
   262	free	492
   263	sorry	484
   264	omg	474
   265	th	471
   266	everything	469
   267	though	468
   268	kid	466
   269	tho	466
   270	drink	465
   271	around	463
   272	care	458
   273	win	458
   274	pretty	457
   275	money	456
   276	most	456
   277	kill	455
   278	friendship	450
   279	awesome	448
   280	bed	447
   281	hit	447
   282	very	444
   283	stay	440
   284	yea	438
   285	la	437
   286	lil	437
   287	true	433
   288	two	433
   289	music	432
   290	late	426
   291	move	426
   292	ppl	422
   293	itreallymakesmemad	420
   294	those	420
   295	while	418
   296	away	417
   297	lot	415
   298	thats	414
   299	read	413
   300	many	410
   301	ready	410
   302	am	409
   303	mad	407
   304	wow	407
   305	hair	406
   306	mind	406
   307	x	405
   308	moment	404
   309	crazy	403
   310	family	403
   311	already	402
   312	end	402
   313	follower	400
   314	remember	399
   315	run	396
   316	ima	391
   317	yu	391
   318	happen	389
   319	listen	389
   320	another	387
   321	guess	385
   322	hot	382
   323	believe	381
   324	cuz	381
   325	fan	381
   326	okay	371
   327	r	371
   328	job	370
   329	own	370
   330	cute	369
   331	reason	367
   332	top	366
   333	hahaha	365
   334	car	364
   335	lose	362
   336	dude	358
   337	saw	356
   338	forget	355
   339	wrong	355
   340	hurt	354
   341	np	353
   342	hoe	352
   343	die	351
   344	high	351
   345	black	350
   346	buy	344
   347	maybe	344
   348	woman	344
   349	bro	343
   350	dat	342
   351	ill	341
   352	must	340
   353	else	339
   354	jus	339
   355	soon	339
   356	watching	339
   357	fight	338
   358	sunday	338
   359	food	337
   360	lady	337
   361	nd	337
   362	dream	332
   363	smile	332
   364	room	331
   365	ha	330
   366	might	327
   367	break	325
   368	anything	324
   369	myself	323
   370	rain	322
   371	wear	320
   372	are	318
   373	post	317
